disease,rank,drug,drugbank,score
"Myoclonic Epilepsy, Juvenile",32,DB00264,DB00264,0.12
"Myoclonic Epilepsy, Juvenile",33,DB00215,DB00215,0.12
"Myoclonic Epilepsy, Juvenile",34,DB00285,DB00285,0.12
"Myoclonic Epilepsy, Juvenile",35,DB00682,DB00682,0.11
"Myoclonic Epilepsy, Juvenile",36,DB01380,DB01380,0.11
"Myoclonic Epilepsy, Juvenile",37,DB00806,DB00806,0.08
"Myoclonic Epilepsy, Juvenile",38,cytarabine,DB00987,0.08
"Myoclonic Epilepsy, Juvenile",39,clopidogrel,DB00758,0.07
"Myoclonic Epilepsy, Juvenile",40,DB01181,DB01181,0.07
"Myoclonic Epilepsy, Juvenile",41,DB00571,DB00571,0.06
"Myoclonic Epilepsy, Juvenile",42,DB00176,DB00176,0.06
"Myoclonic Epilepsy, Juvenile",43,DB00945,DB00945,0.05
"Myoclonic Epilepsy, Juvenile",44,etoposide,DB00773,0.05
"Myoclonic Epilepsy, Juvenile",45,DB00313,DB00313,0.05
"Myoclonic Epilepsy, Juvenile",46,DB01544,DB01544,0.04
"Myoclonic Epilepsy, Juvenile",47,DB01553,DB01553,0.03
"Myoclonic Epilepsy, Juvenile",48,DB00190,DB00190,0.03
"Myoclonic Epilepsy, Juvenile",49,DB06201,DB06201,0.03
"Myoclonic Epilepsy, Juvenile",50,DB01215,DB01215,0.03
Hypoparathyroidism,1,DB00146,DB00146,15.97
Hypoparathyroidism,2,DB00169,DB00169,15.33
Hypoparathyroidism,3,DB01436,DB01436,14.15
Hypoparathyroidism,4,DB06410,DB06410,11.08
Hypoparathyroidism,5,DB00717,DB00717,8.22
Hypoparathyroidism,6,DB06401,DB06401,7.88
Hypoparathyroidism,7,DB04573,DB04573,6.52
Hypoparathyroidism,8,DB01108,DB01108,5.75
Hypoparathyroidism,9,ketoconazole,DB01026,3.36
Hypoparathyroidism,10,DB00999,DB00999,1.26
Hypoparathyroidism,11,prednisolone,DB00860,0.84
Hypoparathyroidism,12,DB01234,DB01234,0.64
Hypoparathyroidism,13,DB00977,DB00977,0.61
Hypoparathyroidism,14,methylprednisolone,DB00959,0.60
Hypoparathyroidism,15,prednisone,DB00635,0.52
Hypoparathyroidism,16,spironolactone,DB00421,0.50
Hypoparathyroidism,17,DB00443,DB00443,0.48
Hypoparathyroidism,18,DB01011,DB01011,0.39
Hypoparathyroidism,19,DB01380,DB01380,0.32
Hypoparathyroidism,20,DB02300,DB02300,0.31
Hypoparathyroidism,21,DB00741,DB00741,0.31
Hypoparathyroidism,22,DB00790,DB00790,0.30
Hypoparathyroidism,23,DB00620,DB00620,0.29
Hypoparathyroidism,24,DB00163,DB00163,0.28
Hypoparathyroidism,25,DB01148,DB01148,0.24
Hypoparathyroidism,26,paclitaxel,DB01229,0.15
Hypoparathyroidism,27,DB01029,DB01029,0.15
Hypoparathyroidism,28,DB06791,DB06791,0.14
Hypoparathyroidism,29,DB00783,DB00783,0.14
Hypoparathyroidism,30,metformin,DB00331,0.09
Hypoparathyroidism,31,etoposide,DB00773,0.09
Hypoparathyroidism,32,DB01012,DB01012,0.09
Hypoparathyroidism,33,mitotane,DB00648,0.07
Hypoparathyroidism,34,DB01181,DB01181,0.07
Hypoparathyroidism,35,DB00655,DB00655,0.07
Hypoparathyroidism,36,fluorouracil,DB00544,0.06
Hypoparathyroidism,37,DB01197,DB01197,0.06
Hypoparathyroidism,38,DB01210,DB01210,0.05
Hypoparathyroidism,39,DB01278,DB01278,0.05
Hypoparathyroidism,40,DB00248,DB00248,0.05
Hypoparathyroidism,41,DB00630,DB00630,0.04
Hypoparathyroidism,42,DB11195,DB11195,0.03
Hypoparathyroidism,43,DB00988,DB00988,0.03
Hypoparathyroidism,44,methimazole,DB00763,0.03
Hypoparathyroidism,45,DB08907,DB08907,0.03
Hypoparathyroidism,46,DB09293,DB09293,0.02
Hypoparathyroidism,47,cytarabine,DB00987,0.02
Hypoparathyroidism,48,DB00887,DB00887,0.01
Hypoparathyroidism,49,DB00710,DB00710,-0.00
Hypoparathyroidism,50,omeprazole,DB00338,-0.01
Heart Failure,1,DB00692,DB00692,8.71
Heart Failure,2,DB01197,DB01197,8.18
Heart Failure,3,DB01029,DB01029,7.85
Heart Failure,4,DB00691,DB00691,7.83
Heart Failure,5,losartan,DB00678,7.81
Heart Failure,6,DB01210,DB01210,7.71
Heart Failure,7,DB00887,DB00887,7.68
Heart Failure,8,DB01148,DB01148,6.87
Heart Failure,9,telmisartan,DB00966,5.17
Heart Failure,10,DB01275,DB01275,5.13
Heart Failure,11,DB00575,DB00575,5.11
Heart Failure,12,DB00310,DB00310,5.04
Heart Failure,13,DB00880,DB00880,5.03
Heart Failure,14,DB00903,DB00903,5.00
Heart Failure,15,DB00524,DB00524,4.98
Heart Failure,16,diltiazem,DB00343,4.80
Heart Failure,17,DB01166,DB01166,4.79
Heart Failure,18,DB00999,DB00999,4.68
Heart Failure,19,DB01021,DB01021,4.58
Heart Failure,20,DB00436,DB00436,4.52
Heart Failure,21,DB00232,DB00232,4.46
Heart Failure,22,DB00722,DB00722,4.41
Heart Failure,23,DB00808,DB00808,4.27
Heart Failure,24,DB04861,DB04861,4.14
Heart Failure,25,DB00492,DB00492,3.76
Heart Failure,26,DB00881,DB00881,3.76
Heart Failure,27,DB00519,DB00519,3.74
Heart Failure,28,DB00178,DB00178,3.69
Heart Failure,29,DB00700,DB00700,3.01
Heart Failure,30,DB00988,DB00988,2.94
Heart Failure,31,DB04920,DB04920,2.93
Heart Failure,32,DB01108,DB01108,2.84
Heart Failure,33,DB08822,DB08822,2.83
Heart Failure,34,DB06712,DB06712,2.83
Heart Failure,35,DB09229,DB09229,2.81
Heart Failure,36,amlodipine,DB00381,2.57
Heart Failure,37,DB00590,DB00590,2.57
Heart Failure,38,DB00657,DB00657,2.56
Heart Failure,39,DB00571,DB00571,2.51
Heart Failure,40,DB00270,DB00270,2.51
Heart Failure,41,DB00457,DB00457,2.43
Heart Failure,42,DB09477,DB09477,2.43
Heart Failure,43,DB01162,DB01162,2.39
Heart Failure,44,DB00968,DB00968,2.38
Heart Failure,45,DB01359,DB01359,2.29
Heart Failure,46,DB09230,DB09230,2.25
Heart Failure,47,DB01193,DB01193,2.16
Heart Failure,48,DB00187,DB00187,1.86
Heart Failure,49,DB09232,DB09232,1.85
Heart Failure,50,DB00790,DB00790,1.84
Osteosarcoma,1,DB00630,DB00630,8.55
Osteosarcoma,2,DB00884,DB00884,8.09
Osteosarcoma,3,methotrexate,DB00563,6.70
Osteosarcoma,4,prednisolone,DB00860,6.17
Osteosarcoma,5,vinblastine,DB00570,5.44
Osteosarcoma,6,azathioprine,DB00993,5.38
Osteosarcoma,7,prednisone,DB00635,5.35
Osteosarcoma,8,furosemide,DB00695,5.33
Osteosarcoma,9,DB01073,DB01073,5.17
Osteosarcoma,10,chlorambucil,DB00291,5.10
Osteosarcoma,11,bleomycin,DB00290,5.07
Osteosarcoma,12,gemcitabine,DB00441,5.06
Osteosarcoma,13,DB01197,DB01197,5.04
Osteosarcoma,14,vincristine,DB00541,5.02
Osteosarcoma,15,cyclosporine,DB00091,4.98
Osteosarcoma,16,DB00642,DB00642,4.97
Osteosarcoma,17,DB00482,DB00482,4.96
Osteosarcoma,18,DB06210,DB06210,4.92
Osteosarcoma,19,leflunomide,DB01097,4.88
Osteosarcoma,20,etoposide,DB00773,4.85
Osteosarcoma,21,DB00620,DB00620,4.82
Osteosarcoma,22,DB08910,DB08910,4.69
Osteosarcoma,23,allopurinol,DB00437,4.64
Osteosarcoma,24,DB01240,DB01240,4.52
Osteosarcoma,25,DB01077,DB01077,4.36
Osteosarcoma,26,daunorubicin,DB00694,4.24
Osteosarcoma,27,mycophenolate,DB00688,4.13
Osteosarcoma,28,DB00328,DB00328,4.01
Osteosarcoma,29,DB01030,DB01030,3.93
Osteosarcoma,30,DB01262,DB01262,3.82
Osteosarcoma,31,DB00443,DB00443,3.71
Osteosarcoma,32,DB00741,DB00741,3.68
Osteosarcoma,33,imatinib,DB00619,3.62
Osteosarcoma,34,DB00523,DB00523,3.38
Osteosarcoma,35,DB00710,DB00710,3.19
Osteosarcoma,36,mitoxantrone,DB01204,3.18
Osteosarcoma,37,DB00945,DB00945,2.86
Osteosarcoma,38,DB01181,DB01181,2.61
Osteosarcoma,39,DB01050,DB01050,2.45
Osteosarcoma,40,thalidomide,DB01041,2.40
Osteosarcoma,41,DB00783,DB00783,2.34
Osteosarcoma,42,DB00851,DB00851,2.23
Osteosarcoma,43,DB01042,DB01042,2.17
Osteosarcoma,44,DB00481,DB00481,2.06
Osteosarcoma,45,DB00903,DB00903,1.82
Osteosarcoma,46,DB00524,DB00524,1.63
Osteosarcoma,47,cytarabine,DB00987,1.54
Osteosarcoma,48,DB11817,DB11817,1.54
Osteosarcoma,49,DB00169,DB00169,1.51
Osteosarcoma,50,DB00917,DB00917,1.34
"Carcinoma, Hepatocellular",1,sunitinib,DB01268,11.21
"Carcinoma, Hepatocellular",2,DB06589,DB06589,10.76
"Carcinoma, Hepatocellular",3,imatinib,DB00619,9.97
"Carcinoma, Hepatocellular",4,DB06626,DB06626,9.74
"Carcinoma, Hepatocellular",5,DB00530,DB00530,9.66
"Carcinoma, Hepatocellular",6,regorafenib,DB08896,9.48
"Carcinoma, Hepatocellular",7,DB06756,DB06756,9.31
"Carcinoma, Hepatocellular",8,DB06287,DB06287,8.55
"Carcinoma, Hepatocellular",9,fluorouracil,DB00544,7.84
"Carcinoma, Hepatocellular",10,doxorubicin,DB00997,7.47
"Carcinoma, Hepatocellular",11,DB00434,DB00434,7.27
"Carcinoma, Hepatocellular",12,paclitaxel,DB01229,6.03
"Carcinoma, Hepatocellular",13,DB01248,DB01248,5.60
"Carcinoma, Hepatocellular",14,capecitabine,DB01101,4.54
"Carcinoma, Hepatocellular",15,DB08871,DB08871,4.39
"Carcinoma, Hepatocellular",16,cytarabine,DB00987,4.19
"Carcinoma, Hepatocellular",17,everolimus,DB01590,4.10
"Carcinoma, Hepatocellular",18,DB00305,DB00305,3.61
"Carcinoma, Hepatocellular",19,gemcitabine,DB00441,3.21
"Carcinoma, Hepatocellular",20,DB09074,DB09074,3.18
"Carcinoma, Hepatocellular",21,DB00783,DB00783,2.67
"Carcinoma, Hepatocellular",22,DB00445,DB00445,2.66
"Carcinoma, Hepatocellular",23,DB01030,DB01030,2.65
"Carcinoma, Hepatocellular",24,DB08828,DB08828,2.54
"Carcinoma, Hepatocellular",25,DB00640,DB00640,2.51
"Carcinoma, Hepatocellular",26,DB00482,DB00482,2.50
"Carcinoma, Hepatocellular",27,DB00307,DB00307,2.50
"Carcinoma, Hepatocellular",28,methotrexate,DB00563,2.49
"Carcinoma, Hepatocellular",29,DB00642,DB00642,2.45
"Carcinoma, Hepatocellular",30,DB01262,DB01262,2.40
"Carcinoma, Hepatocellular",31,romidepsin,DB06176,2.40
"Carcinoma, Hepatocellular",32,DB01217,DB01217,2.38
"Carcinoma, Hepatocellular",33,DB01006,DB01006,2.33
"Carcinoma, Hepatocellular",34,metformin,DB00331,2.29
"Carcinoma, Hepatocellular",35,DB00625,DB00625,2.16
"Carcinoma, Hepatocellular",36,DB00571,DB00571,2.11
"Carcinoma, Hepatocellular",37,DB03209,DB03209,2.00
"Carcinoma, Hepatocellular",38,etoposide,DB00773,1.82
"Carcinoma, Hepatocellular",39,prednisolone,DB00860,1.61
"Carcinoma, Hepatocellular",40,DB00322,DB00322,1.49
"Carcinoma, Hepatocellular",41,DB09256,DB09256,1.47
"Carcinoma, Hepatocellular",42,DB01181,DB01181,1.27
"Carcinoma, Hepatocellular",43,hydroxyurea,DB01005,1.24
"Carcinoma, Hepatocellular",44,DB12947,DB12947,1.23
"Carcinoma, Hepatocellular",45,DB11596,DB11596,1.15
"Carcinoma, Hepatocellular",46,DB01234,DB01234,1.03
"Carcinoma, Hepatocellular",47,DB00309,DB00309,0.95
"Carcinoma, Hepatocellular",48,methylprednisolone,DB00959,0.89
"Carcinoma, Hepatocellular",49,DB00603,DB00603,0.83
"Carcinoma, Hepatocellular",50,DB00443,DB00443,0.82
"Carcinoma, Islet Cell",1,DB00185,DB00185,11.32
"Carcinoma, Islet Cell",2,DB00618,DB00618,11.05
"Carcinoma, Islet Cell",3,prednisolone,DB00860,10.45
"Carcinoma, Islet Cell",4,vinorelbine,DB00361,7.58
"Carcinoma, Islet Cell",5,DB06791,DB06791,7.10
"Carcinoma, Islet Cell",6,sirolimus,DB00877,6.87
"Carcinoma, Islet Cell",7,DB11921,DB11921,4.90
"Carcinoma, Islet Cell",8,DB00620,DB00620,3.21
"Carcinoma, Islet Cell",9,everolimus,DB01590,2.63
"Carcinoma, Islet Cell",10,DB01013,DB01013,2.40
"Carcinoma, Islet Cell",11,cytarabine,DB00987,1.48
"Carcinoma, Islet Cell",12,fluorouracil,DB00544,1.28
"Carcinoma, Islet Cell",13,methotrexate,DB00563,1.22
"Carcinoma, Islet Cell",14,etoposide,DB00773,1.21
"Carcinoma, Islet Cell",15,methylprednisolone,DB00959,1.08
"Carcinoma, Islet Cell",16,paclitaxel,DB01229,0.95
"Carcinoma, Islet Cell",17,DB01181,DB01181,0.89
"Carcinoma, Islet Cell",18,doxorubicin,DB00997,0.81
"Carcinoma, Islet Cell",19,DB01234,DB01234,0.81
"Carcinoma, Islet Cell",20,DB00305,DB00305,0.80
"Carcinoma, Islet Cell",21,DB00443,DB00443,0.70
"Carcinoma, Islet Cell",22,DB01380,DB01380,0.64
"Carcinoma, Islet Cell",23,DB14512,DB14512,0.50
"Carcinoma, Islet Cell",24,DB00309,DB00309,0.50
"Carcinoma, Islet Cell",25,mitoxantrone,DB01204,0.48
"Carcinoma, Islet Cell",26,teniposide,DB00444,0.48
"Carcinoma, Islet Cell",27,DB03209,DB03209,0.47
"Carcinoma, Islet Cell",28,DB00262,DB00262,0.45
"Carcinoma, Islet Cell",29,DB01248,DB01248,0.43
"Carcinoma, Islet Cell",30,sunitinib,DB01268,0.42
"Carcinoma, Islet Cell",31,DB00741,DB00741,0.42
"Carcinoma, Islet Cell",32,vincristine,DB00541,0.41
"Carcinoma, Islet Cell",33,DB01042,DB01042,0.40
"Carcinoma, Islet Cell",34,bleomycin,DB00290,0.38
"Carcinoma, Islet Cell",35,DB00322,DB00322,0.38
"Carcinoma, Islet Cell",36,DB01073,DB01073,0.38
"Carcinoma, Islet Cell",37,DB13832,DB13832,0.38
"Carcinoma, Islet Cell",38,DB09074,DB09074,0.34
"Carcinoma, Islet Cell",39,capecitabine,DB01101,0.31
"Carcinoma, Islet Cell",40,sorafenib,DB00398,0.30
"Carcinoma, Islet Cell",41,DB11596,DB11596,0.26
"Carcinoma, Islet Cell",42,DB00351,DB00351,0.26
"Carcinoma, Islet Cell",43,DB00482,DB00482,0.25
"Carcinoma, Islet Cell",44,vinblastine,DB00570,0.24
"Carcinoma, Islet Cell",45,chlorambucil,DB00291,0.20
"Carcinoma, Islet Cell",46,DB09256,DB09256,0.20
"Carcinoma, Islet Cell",47,DB01117,DB01117,0.19
"Carcinoma, Islet Cell",48,daunorubicin,DB00694,0.19
"Carcinoma, Islet Cell",49,hydroxyurea,DB01005,0.19
"Carcinoma, Islet Cell",50,dactinomycin,DB00970,0.18
Polycythemia Vera,1,DB01008,DB01008,14.79
Polycythemia Vera,2,cytarabine,DB00987,13.87
Polycythemia Vera,3,temozolomide,DB00853,11.32
Polycythemia Vera,4,DB13832,DB13832,10.87
Polycythemia Vera,5,DB00309,DB00309,10.06
Polycythemia Vera,6,DB00888,DB00888,10.05
Polycythemia Vera,7,DB01181,DB01181,9.99
Polycythemia Vera,8,DB00851,DB00851,9.78
Polycythemia Vera,9,vincristine,DB00541,8.69
Polycythemia Vera,10,DB00305,DB00305,7.98
Polycythemia Vera,11,DB06412,DB06412,6.65
Polycythemia Vera,12,DB01042,DB01042,6.56
Polycythemia Vera,13,imatinib,DB00619,5.71
Polycythemia Vera,14,DB01073,DB01073,4.45
Polycythemia Vera,15,doxorubicin,DB00997,4.41
Polycythemia Vera,16,dasatinib,DB01254,4.10
Polycythemia Vera,17,methotrexate,DB00563,4.03
Polycythemia Vera,18,fluorouracil,DB00544,3.73
Polycythemia Vera,19,methylprednisolone,DB00959,3.68
Polycythemia Vera,20,prednisolone,DB00860,3.53
Polycythemia Vera,21,daunorubicin,DB00694,3.49
Polycythemia Vera,22,DB00755,DB00755,3.42
Polycythemia Vera,23,lomustine,DB01206,3.03
Polycythemia Vera,24,DB01169,DB01169,3.02
Polycythemia Vera,25,DB01234,DB01234,2.70
Polycythemia Vera,26,DB01248,DB01248,2.19
Polycythemia Vera,27,DB00741,DB00741,2.11
Polycythemia Vera,28,DB00552,DB00552,2.10
Polycythemia Vera,29,DB00242,DB00242,2.06
Polycythemia Vera,30,DB01380,DB01380,2.02
Polycythemia Vera,31,capecitabine,DB01101,2.01
Polycythemia Vera,32,vinblastine,DB00570,1.90
Polycythemia Vera,33,DB08901,DB08901,1.87
Polycythemia Vera,34,DB00262,DB00262,1.85
Polycythemia Vera,35,DB00445,DB00445,1.82
Polycythemia Vera,36,DB00443,DB00443,1.81
Polycythemia Vera,37,DB01259,DB01259,1.78
Polycythemia Vera,38,DB00762,DB00762,1.72
Polycythemia Vera,39,DB01143,DB01143,1.70
Polycythemia Vera,40,DB00236,DB00236,1.69
Polycythemia Vera,41,DB00642,DB00642,1.68
Polycythemia Vera,42,DB00848,DB00848,1.64
Polycythemia Vera,43,DB00255,DB00255,1.61
Polycythemia Vera,44,DB00620,DB00620,1.57
Polycythemia Vera,45,DB02546,DB02546,1.55
Polycythemia Vera,46,DB01030,DB01030,1.52
Polycythemia Vera,47,DB00282,DB00282,1.51
Polycythemia Vera,48,DB00307,DB00307,1.49
Polycythemia Vera,49,DB00399,DB00399,1.40
Polycythemia Vera,50,DB00928,DB00928,1.39
Cryptococcosis,1,voriconazole,DB00582,14.69
Cryptococcosis,2,DB01263,DB01263,14.28
Cryptococcosis,3,DB01141,DB01141,11.65
Cryptococcosis,4,DB06636,DB06636,10.80
Cryptococcosis,5,DB00257,DB00257,9.56
Cryptococcosis,6,DB00362,DB00362,8.88
Cryptococcosis,7,DB00646,DB00646,8.11
Cryptococcosis,8,prednisone,DB00635,7.73
Cryptococcosis,9,DB00251,DB00251,7.58
Cryptococcosis,10,ketoconazole,DB01026,4.02
Cryptococcosis,11,DB09293,DB09293,2.92
Cryptococcosis,12,DB00618,DB00618,1.02
Cryptococcosis,13,DB08933,DB08933,0.76
Cryptococcosis,14,DB11191,DB11191,0.49
Cryptococcosis,15,DB01110,DB01110,0.44
Cryptococcosis,16,prednisolone,DB00860,0.43
Cryptococcosis,17,DB00446,DB00446,0.35
Cryptococcosis,18,DB00199,DB00199,0.34
Cryptococcosis,19,DB09031,DB09031,0.21
Cryptococcosis,20,DB01234,DB01234,0.19
Cryptococcosis,21,methylprednisolone,DB00959,0.16
Cryptococcosis,22,DB00620,DB00620,0.15
Cryptococcosis,23,DB00443,DB00443,0.14
Cryptococcosis,24,DB00741,DB00741,0.10
Cryptococcosis,25,DB01117,DB01117,0.07
Cryptococcosis,26,DB01380,DB01380,0.05
Cryptococcosis,27,metronidazole,DB00916,0.03
Cryptococcosis,28,DB01188,DB01188,0.03
Cryptococcosis,29,DB01059,DB01059,0.02
Cryptococcosis,30,DB00936,DB00936,-0.01
Cryptococcosis,31,clarithromycin,DB01211,-0.01
Cryptococcosis,32,DB01165,DB01165,-0.02
Cryptococcosis,33,DB09040,DB09040,-0.02
Cryptococcosis,34,DB00525,DB00525,-0.04
Cryptococcosis,35,etoposide,DB00773,-0.06
Cryptococcosis,36,cytarabine,DB00987,-0.07
Cryptococcosis,37,DB00359,DB00359,-0.08
Cryptococcosis,38,DB01181,DB01181,-0.08
Cryptococcosis,39,fluorouracil,DB00544,-0.08
Cryptococcosis,40,DB01045,DB01045,-0.09
Cryptococcosis,41,methotrexate,DB00563,-0.09
Cryptococcosis,42,DB01058,DB01058,-0.11
Cryptococcosis,43,doxorubicin,DB00997,-0.11
Cryptococcosis,44,DB00911,DB00911,-0.11
Cryptococcosis,45,DB00537,DB00537,-0.12
Cryptococcosis,46,DB00928,DB00928,-0.12
Cryptococcosis,47,DB01166,DB01166,-0.12
Cryptococcosis,48,DB01262,DB01262,-0.13
Cryptococcosis,49,DB09041,DB09041,-0.13
Cryptococcosis,50,DB00400,DB00400,-0.13
"Mycobacterium Infections, Nontuberculous",1,DB00446,DB00446,19.25
"Mycobacterium Infections, Nontuberculous",2,DB01165,DB01165,17.78
"Mycobacterium Infections, Nontuberculous",3,DB00567,DB00567,11.68
"Mycobacterium Infections, Nontuberculous",4,DB00618,DB00618,11.27
"Mycobacterium Infections, Nontuberculous",5,rifabutin,DB00615,10.95
"Mycobacterium Infections, Nontuberculous",6,DB00199,DB00199,10.88
"Mycobacterium Infections, Nontuberculous",7,DB01066,DB01066,7.98
"Mycobacterium Infections, Nontuberculous",8,DB01059,DB01059,4.67
"Mycobacterium Infections, Nontuberculous",9,DB00684,DB00684,3.08
"Mycobacterium Infections, Nontuberculous",10,metronidazole,DB00916,2.58
"Mycobacterium Infections, Nontuberculous",11,DB00267,DB00267,2.34
"Mycobacterium Infections, Nontuberculous",12,DB01201,DB01201,1.74
"Mycobacterium Infections, Nontuberculous",13,DB00233,DB00233,1.67
"Mycobacterium Infections, Nontuberculous",14,DB00778,DB00778,1.58
"Mycobacterium Infections, Nontuberculous",15,DB06771,DB06771,1.56
"Mycobacterium Infections, Nontuberculous",16,DB01044,DB01044,1.56
"Mycobacterium Infections, Nontuberculous",17,thalidomide,DB01041,1.22
"Mycobacterium Infections, Nontuberculous",18,DB00911,DB00911,1.22
"Mycobacterium Infections, Nontuberculous",19,doxorubicin,DB00997,0.89
"Mycobacterium Infections, Nontuberculous",20,DB00741,DB00741,0.87
"Mycobacterium Infections, Nontuberculous",21,DB00314,DB00314,0.85
"Mycobacterium Infections, Nontuberculous",22,DB01234,DB01234,0.68
"Mycobacterium Infections, Nontuberculous",23,prednisolone,DB00860,0.63
"Mycobacterium Infections, Nontuberculous",24,DB00324,DB00324,0.61
"Mycobacterium Infections, Nontuberculous",25,DB00609,DB00609,0.58
"Mycobacterium Infections, Nontuberculous",26,DB00339,DB00339,0.58
"Mycobacterium Infections, Nontuberculous",27,DB00759,DB00759,0.54
"Mycobacterium Infections, Nontuberculous",28,DB00537,DB00537,0.52
"Mycobacterium Infections, Nontuberculous",29,ursodiol,DB01586,0.49
"Mycobacterium Infections, Nontuberculous",30,prednisone,DB00635,0.47
"Mycobacterium Infections, Nontuberculous",31,methylprednisolone,DB00959,0.42
"Mycobacterium Infections, Nontuberculous",32,amphotericin,DB00681,0.41
"Mycobacterium Infections, Nontuberculous",33,DB01129,DB01129,0.41
"Mycobacterium Infections, Nontuberculous",34,DB00443,DB00443,0.41
"Mycobacterium Infections, Nontuberculous",35,trimethoprim,DB00440,0.40
"Mycobacterium Infections, Nontuberculous",36,DB00213,DB00213,0.33
"Mycobacterium Infections, Nontuberculous",37,DB00736,DB00736,0.33
"Mycobacterium Infections, Nontuberculous",38,itraconazole,DB01167,0.33
"Mycobacterium Infections, Nontuberculous",39,DB01086,DB01086,0.32
"Mycobacterium Infections, Nontuberculous",40,DB01380,DB01380,0.31
"Mycobacterium Infections, Nontuberculous",41,vincristine,DB00541,0.31
"Mycobacterium Infections, Nontuberculous",42,DB01137,DB01137,0.28
"Mycobacterium Infections, Nontuberculous",43,DB00535,DB00535,0.27
"Mycobacterium Infections, Nontuberculous",44,DB00355,DB00355,0.26
"Mycobacterium Infections, Nontuberculous",45,DB00080,DB00080,0.22
"Mycobacterium Infections, Nontuberculous",46,ketoconazole,DB01026,0.18
"Mycobacterium Infections, Nontuberculous",47,DB00448,DB00448,0.18
"Mycobacterium Infections, Nontuberculous",48,DB00585,DB00585,0.17
"Mycobacterium Infections, Nontuberculous",49,DB00668,DB00668,0.16
"Mycobacterium Infections, Nontuberculous",50,DB00250,DB00250,0.15
Cushing Syndrome,1,DB01011,DB01011,14.69
Cushing Syndrome,2,DB00257,DB00257,4.90
Cushing Syndrome,3,itraconazole,DB01167,4.72
Cushing Syndrome,4,DB01110,DB01110,4.70
Cushing Syndrome,5,DB08933,DB08933,3.91
Cushing Syndrome,6,DB00163,DB00163,3.61
Cushing Syndrome,7,DB00936,DB00936,3.33
Cushing Syndrome,8,DB00525,DB00525,3.11
Cushing Syndrome,9,DB01188,DB01188,2.81
Cushing Syndrome,10,DB09040,DB09040,1.68
Cushing Syndrome,11,DB00400,DB00400,1.67
Cushing Syndrome,12,DB09041,DB09041,1.67
Cushing Syndrome,13,DB00989,DB00989,1.58
Cushing Syndrome,14,DB00494,DB00494,1.54
Cushing Syndrome,15,DB00323,DB00323,1.54
Cushing Syndrome,16,DB09321,DB09321,1.50
Cushing Syndrome,17,DB01235,DB01235,1.49
Cushing Syndrome,18,DB05271,DB05271,1.49
Cushing Syndrome,19,DB00413,DB00413,1.49
Cushing Syndrome,20,DB00268,DB00268,1.48
Cushing Syndrome,21,DB01173,DB01173,1.47
Cushing Syndrome,22,DB00392,DB00392,1.47
Cushing Syndrome,23,DB00424,DB00424,1.47
Cushing Syndrome,24,DB00387,DB00387,1.47
Cushing Syndrome,25,DB00376,DB00376,1.47
Cushing Syndrome,26,DB00714,DB00714,1.47
Cushing Syndrome,27,DB00589,DB00589,1.46
Cushing Syndrome,28,DB01186,DB01186,1.46
Cushing Syndrome,29,DB00620,DB00620,1.15
Cushing Syndrome,30,DB04930,DB04930,1.07
Cushing Syndrome,31,prednisolone,DB00860,1.00
Cushing Syndrome,32,DB00190,DB00190,0.97
Cushing Syndrome,33,DB00434,DB00434,0.97
Cushing Syndrome,34,methylprednisolone,DB00959,0.82
Cushing Syndrome,35,DB01234,DB01234,0.81
Cushing Syndrome,36,DB00999,DB00999,0.81
Cushing Syndrome,37,DB00265,DB00265,0.79
Cushing Syndrome,38,DB01380,DB01380,0.68
Cushing Syndrome,39,prednisone,DB00635,0.63
Cushing Syndrome,40,DB00248,DB00248,0.59
Cushing Syndrome,41,DB00443,DB00443,0.53
Cushing Syndrome,42,DB00741,DB00741,0.50
Cushing Syndrome,43,fluoxetine,DB00472,0.39
Cushing Syndrome,44,DB06262,DB06262,0.38
Cushing Syndrome,45,zonisamide,DB00909,0.33
Cushing Syndrome,46,clomipramine,DB01242,0.28
Cushing Syndrome,47,DB00251,DB00251,0.28
Cushing Syndrome,48,DB01070,DB01070,0.28
Cushing Syndrome,49,spironolactone,DB00421,0.27
Cushing Syndrome,50,DB00646,DB00646,0.26
Chromoblastomycosis,1,DB01166,DB01166,23.26
Chromoblastomycosis,2,itraconazole,DB01167,7.28
Chromoblastomycosis,3,prednisolone,DB00860,6.46
Chromoblastomycosis,4,ketoconazole,DB01026,5.74
Chromoblastomycosis,5,amphotericin,DB00681,5.43
Chromoblastomycosis,6,DB01234,DB01234,5.13
Chromoblastomycosis,7,DB00443,DB00443,4.95
Chromoblastomycosis,8,methylprednisolone,DB00959,4.85
Chromoblastomycosis,9,DB00620,DB00620,4.77
Chromoblastomycosis,10,DB00618,DB00618,4.75
Chromoblastomycosis,11,DB00741,DB00741,3.99
Chromoblastomycosis,12,DB01263,DB01263,3.36
Chromoblastomycosis,13,prednisone,DB00635,3.28
Chromoblastomycosis,14,DB01380,DB01380,3.07
Chromoblastomycosis,15,DB00257,DB00257,2.80
Chromoblastomycosis,16,DB01110,DB01110,2.50
Chromoblastomycosis,17,DB00936,DB00936,2.49
Chromoblastomycosis,18,DB00199,DB00199,2.31
Chromoblastomycosis,19,DB08933,DB08933,2.17
Chromoblastomycosis,20,DB01099,DB01099,2.10
Chromoblastomycosis,21,voriconazole,DB00582,1.83
